label,text,tokens,clean_text
1,urgent your costa del sol holiday or £ await collection call now toclaim sae tc s pobox stockport skxh cost£pm maxmins,"['urgent', 'costa', 'del', 'sol', 'holiday', '£', 'await', 'collection', 'call', 'toclaim', 'sae', 'tc', 'pobox', 'stockport', 'skxh', 'cost£pm', 'maxmins']",urgent costa del sol holiday £ await collection call toclaim sae tc pobox stockport skxh cost£pm maxmins
0,my life means a lot to me not because i love my life but because i love the people in my life the world calls them friends i call them my world ge,"['life', 'mean', 'lot', 'love', 'life', 'love', 'people', 'life', 'world', 'call', 'friend', 'call', 'world', 'ge']",life mean lot love life love people life world call friend call world ge
0,dunno cos i was v late n when i reach they inside already but we ate spageddies lor its e gals who r laughing at me lor,"['dunno', 'co', 'v', 'late', 'n', 'reach', 'inside', 'already', 'ate', 'spageddies', 'lor', 'e', 'gal', 'r', 'laughing', 'lor']",dunno co v late n reach inside already ate spageddies lor e gal r laughing lor
0,can not use foreign stamps in this country,"['use', 'foreign', 'stamp', 'country']",use foreign stamp country
0,pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala,"['pls', 'clarify', 'back', 'open', 'return', 'ticket', 'preponed', 'go', 'back', 'kerala']",pls clarify back open return ticket preponed go back kerala
1,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt on orange contract call mobileupd on or call optout,"['panasonic', 'bluetoothhdset', 'free', 'nokia', 'free', 'motorola', 'free', 'doublemins', 'doubletxt', 'orange', 'contract', 'call', 'mobileupd', 'call', 'optout']",panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt orange contract call mobileupd call optout
0,lol they were mad at first but then they woke up and gave in,"['lol', 'mad', 'first', 'woke', 'gave']",lol mad first woke gave
0,oh yeahand hav a great time in newquaysend me a postcard look after all the girls while im goneu know the im talkin boutxx,"['oh', 'yeahand', 'hav', 'great', 'time', 'newquaysend', 'postcard', 'look', 'girl', 'im', 'goneu', 'know', 'im', 'talkin', 'boutxx']",oh yeahand hav great time newquaysend postcard look girl im goneu know im talkin boutxx
0,i anything lor,"['anything', 'lor']",anything lor
0,don knowwait i will check it,"['knowwait', 'check']",knowwait check
1,important information orange user xxxxxxx today is your lucky dayfind out why log onto httpwwwurawinnercom theres a fantastic surprise awaiting you,"['important', 'information', 'orange', 'user', 'xxxxxxx', 'today', 'lucky', 'dayfind', 'log', 'onto', 'httpwwwurawinnercom', 'there', 'fantastic', 'surprise', 'awaiting']",important information orange user xxxxxxx today lucky dayfind log onto httpwwwurawinnercom there fantastic surprise awaiting
0,ok then r we meeting later,"['ok', 'r', 'meeting', 'later']",ok r meeting later
0,hi dis is yijue i would be happy to work wif ü all for gek,"['hi', 'dis', 'yijue', 'would', 'happy', 'work', 'wif', 'ü', 'gek']",hi dis yijue would happy work wif ü gek
0,sorry vikky im watching olave mandara movie kano in trishul theatre wit my frnds,"['sorry', 'vikky', 'im', 'watching', 'olave', 'mandara', 'movie', 'kano', 'trishul', 'theatre', 'wit', 'frnds']",sorry vikky im watching olave mandara movie kano trishul theatre wit frnds
0,beauty sleep can help ur pimples too,"['beauty', 'sleep', 'help', 'ur', 'pimple']",beauty sleep help ur pimple
0,really i crashed out cuddled on my sofa,"['really', 'crashed', 'cuddled', 'sofa']",really crashed cuddled sofa
0,wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem,"['wat', 'make', 'people', 'dearer', 'de', 'happiness', 'dat', 'u', 'feel', 'u', 'meet', 'de', 'pain', 'u', 'feel', 'u', 'miss', 'dem']",wat make people dearer de happiness dat u feel u meet de pain u feel u miss dem
0,come to mu were sorting out our narcotics situation,"['come', 'mu', 'sorting', 'narcotic', 'situation']",come mu sorting narcotic situation
0,hiya do u like the hlday pics looked horrible in them so took mo out hows the camp amrca thing speak soon serena,"['hiya', 'u', 'like', 'hlday', 'pic', 'looked', 'horrible', 'took', 'mo', 'hows', 'camp', 'amrca', 'thing', 'speak', 'soon', 'serena']",hiya u like hlday pic looked horrible took mo hows camp amrca thing speak soon serena
0,mm not entirely sure i understood that text but hey ho which weekend,"['mm', 'entirely', 'sure', 'understood', 'text', 'hey', 'ho', 'weekend']",mm entirely sure understood text hey ho weekend
0,how much r ü willing to pay,"['much', 'r', 'ü', 'willing', 'pay']",much r ü willing pay
0,u gd lor go shopping i got stuff to do u wan watch infernal affairs a not come lar,"['u', 'gd', 'lor', 'go', 'shopping', 'got', 'stuff', 'u', 'wan', 'watch', 'infernal', 'affair', 'come', 'lar']",u gd lor go shopping got stuff u wan watch infernal affair come lar
0,how is my boy no sweet words left for me this morning sighs how goes you day my love did you start your studying,"['boy', 'sweet', 'word', 'left', 'morning', 'sigh', 'go', 'day', 'love', 'start', 'studying']",boy sweet word left morning sigh go day love start studying
0,then u drive lor,"['u', 'drive', 'lor']",u drive lor
0,are you the cutest girl in the world or what,"['cutest', 'girl', 'world']",cutest girl world
0,pls i wont belive godnot only jesus,"['pls', 'wont', 'belive', 'godnot', 'jesus']",pls wont belive godnot jesus
1,we tried to contact you re your reply to our offer of a video handset anytime networks mins unlimited text camcorder reply or call now,"['tried', 'contact', 'reply', 'offer', 'video', 'handset', 'anytime', 'network', 'min', 'unlimited', 'text', 'camcorder', 'reply', 'call']",tried contact reply offer video handset anytime network min unlimited text camcorder reply call
0,thanks for ve lovely wisheds you rock,"['thanks', 'lovely', 'wisheds', 'rock']",thanks lovely wisheds rock
0,oh oh wasted den muz chiong on sat n sun liao,"['oh', 'oh', 'wasted', 'den', 'muz', 'chiong', 'sat', 'n', 'sun', 'liao']",oh oh wasted den muz chiong sat n sun liao
0,im home doc gave me pain meds says everything is fine,"['im', 'home', 'doc', 'gave', 'pain', 'med', 'say', 'everything', 'fine']",im home doc gave pain med say everything fine
0,no pic please resend,"['pic', 'please', 'resend']",pic please resend
0,yeah i got a list with only u and joanna if im feeling really anti social,"['yeah', 'got', 'list', 'u', 'joanna', 'im', 'feeling', 'really', 'anti', 'social']",yeah got list u joanna im feeling really anti social
0,tiwary to rcbbattle between bang and kochi,"['tiwary', 'rcbbattle', 'bang', 'kochi']",tiwary rcbbattle bang kochi
0,oops my phone died and i didnt even know yeah i like it better,"['oops', 'phone', 'died', 'didnt', 'even', 'know', 'yeah', 'like', 'better']",oops phone died didnt even know yeah like better
0,i can take you at like noon,"['take', 'like', 'noon']",take like noon
0,forgot to tell ü smth can ü like number the sections so that its clearer,"['forgot', 'tell', 'ü', 'smth', 'ü', 'like', 'number', 'section', 'clearer']",forgot tell ü smth ü like number section clearer
0,babe im back come back to me,"['babe', 'im', 'back', 'come', 'back']",babe im back come back
1,ur awarded a city break and could win a £ summer shopping spree every wk txt store to skilgme tscswinawkage £perwksub,"['ur', 'awarded', 'city', 'break', 'could', 'win', '£', 'summer', 'shopping', 'spree', 'every', 'wk', 'txt', 'store', 'skilgme', 'tscswinawkage', '£perwksub']",ur awarded city break could win £ summer shopping spree every wk txt store skilgme tscswinawkage £perwksub
0,was it something u ate,"['something', 'u', 'ate']",something u ate
0,i see a cup of coffee animation,"['see', 'cup', 'coffee', 'animation']",see cup coffee animation
1,congratulations ur awarded of cd vouchers or gift guaranteed free entry wkly draw txt music to,"['congratulation', 'ur', 'awarded', 'cd', 'voucher', 'gift', 'guaranteed', 'free', 'entry', 'wkly', 'draw', 'txt', 'music']",congratulation ur awarded cd voucher gift guaranteed free entry wkly draw txt music
0,well im computerless time to make some oreo truffles,"['well', 'im', 'computerless', 'time', 'make', 'oreo', 'truffle']",well im computerless time make oreo truffle
0,your bill at is £ so thats not bad,"['bill', '£', 'thats', 'bad']",bill £ thats bad
0,hey gorgeous man my work mobile number is have a good one babe squishy mwahs,"['hey', 'gorgeous', 'man', 'work', 'mobile', 'number', 'good', 'one', 'babe', 'squishy', 'mwahs']",hey gorgeous man work mobile number good one babe squishy mwahs
0,am i that much dirty fellow,"['much', 'dirty', 'fellow']",much dirty fellow
1,are you unique enough find out from th august wwwareyouuniquecouk,"['unique', 'enough', 'find', 'th', 'august', 'wwwareyouuniquecouk']",unique enough find th august wwwareyouuniquecouk
0,text her if she doesnt reply let me know so i can have her log in,"['text', 'doesnt', 'reply', 'let', 'know', 'log']",text doesnt reply let know log
0,they dont put that stuff on the roads to keep it from getting slippery over there,"['dont', 'put', 'stuff', 'road', 'keep', 'getting', 'slippery']",dont put stuff road keep getting slippery
0,i cant believe how attached i am to seeing you every day i know you will do the best you can to get to me babe i will go to teach my class at your midnight,"['cant', 'believe', 'attached', 'seeing', 'every', 'day', 'know', 'best', 'get', 'babe', 'go', 'teach', 'class', 'midnight']",cant believe attached seeing every day know best get babe go teach class midnight
1,thesmszonecom lets you send free anonymous and masked messagesim sending this message from theredo you see the potential for abuse,"['thesmszonecom', 'let', 'send', 'free', 'anonymous', 'masked', 'messagesim', 'sending', 'message', 'theredo', 'see', 'potential', 'abuse']",thesmszonecom let send free anonymous masked messagesim sending message theredo see potential abuse
0,there are no other charges after transfer charges and you can withdraw anyhow you like,"['charge', 'transfer', 'charge', 'withdraw', 'anyhow', 'like']",charge transfer charge withdraw anyhow like
0,alright tylers got a minor crisis and has to be home sooner than he thought so be here asap,"['alright', 'tyler', 'got', 'minor', 'crisis', 'home', 'sooner', 'thought', 'asap']",alright tyler got minor crisis home sooner thought asap
0,good morning im suffering from fever and dysentry will not be able to come to office today,"['good', 'morning', 'im', 'suffering', 'fever', 'dysentry', 'able', 'come', 'office', 'today']",good morning im suffering fever dysentry able come office today
0,yes see ya not on the dot,"['yes', 'see', 'ya', 'dot']",yes see ya dot
0,deep sigh i miss you i am really surprised you havent gone to the net cafe yet to get to me dont you miss me,"['deep', 'sigh', 'miss', 'really', 'surprised', 'havent', 'gone', 'net', 'cafe', 'yet', 'get', 'dont', 'miss']",deep sigh miss really surprised havent gone net cafe yet get dont miss
0,good evening sir hope you are having a nice day i wanted to bring it to your notice that i have been late in paying rent for the past few months and have had to pay a ltgt charge i felt it would be inconsiderate of me to nag about something you give at great cost to yourself and thats why i didnt speak up i however am in a recession and wont be able to pay the charge this month hence my askin well ahead of months end can you please help thank you for everything,"['good', 'evening', 'sir', 'hope', 'nice', 'day', 'wanted', 'bring', 'notice', 'late', 'paying', 'rent', 'past', 'month', 'pay', 'ltgt', 'charge', 'felt', 'would', 'inconsiderate', 'nag', 'something', 'give', 'great', 'cost', 'thats', 'didnt', 'speak', 'however', 'recession', 'wont', 'able', 'pay', 'charge', 'month', 'hence', 'askin', 'well', 'ahead', 'month', 'end', 'please', 'help', 'thank', 'everything']",good evening sir hope nice day wanted bring notice late paying rent past month pay ltgt charge felt would inconsiderate nag something give great cost thats didnt speak however recession wont able pay charge month hence askin well ahead month end please help thank everything
0,customer place i will call you,"['customer', 'place', 'call']",customer place call
1,days to euro kickoff u will be kept informed of all the latest news and results daily unsubscribe send get euro stop to,"['day', 'euro', 'kickoff', 'u', 'kept', 'informed', 'latest', 'news', 'result', 'daily', 'unsubscribe', 'send', 'get', 'euro', 'stop']",day euro kickoff u kept informed latest news result daily unsubscribe send get euro stop
0,pls send me the correct name da,"['pls', 'send', 'correct', 'name', 'da']",pls send correct name da
0,oh just getting even with u u,"['oh', 'getting', 'even', 'u', 'u']",oh getting even u u
0,sorry ill call later,"['sorry', 'ill', 'call', 'later']",sorry ill call later
0,wrong phone this phone i answer this one but assume the other is people i dont well,"['wrong', 'phone', 'phone', 'answer', 'one', 'assume', 'people', 'dont', 'well']",wrong phone phone answer one assume people dont well
0,dont worry day very big lambu ji vl cometil then enjoy batchlor party,"['dont', 'worry', 'day', 'big', 'lambu', 'ji', 'vl', 'cometil', 'enjoy', 'batchlor', 'party']",dont worry day big lambu ji vl cometil enjoy batchlor party
0,depends on quality if you want the type i sent boye faded glory then about if you want ralphs maybe,"['depends', 'quality', 'want', 'type', 'sent', 'boye', 'faded', 'glory', 'want', 'ralphs', 'maybe']",depends quality want type sent boye faded glory want ralphs maybe
0,you arent coming home between class right i need to work out and shower,"['arent', 'coming', 'home', 'class', 'right', 'need', 'work', 'shower']",arent coming home class right need work shower
0,sad story of a man last week was my bday my wife didnt wish me my parents forgot n so did my kids i went to work even my colleagues did not wish as i entered my cabin my pa said happy bday boss i felt special she askd me lunch after lunch she invited me to her apartment we went there she said do u mind if i go into the bedroom for a minute ok i sed in a sexy mood she came out minuts latr wid a caken my wife my parents my kidz my friends n my colleagues all screaming surprise and i was waiting on the sofa naked,"['sad', 'story', 'man', 'last', 'week', 'bday', 'wife', 'didnt', 'wish', 'parent', 'forgot', 'n', 'kid', 'went', 'work', 'even', 'colleague', 'wish', 'entered', 'cabin', 'pa', 'said', 'happy', 'bday', 'bos', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invited', 'apartment', 'went', 'said', 'u', 'mind', 'go', 'bedroom', 'minute', 'ok', 'sed', 'sexy', 'mood', 'came', 'minuts', 'latr', 'wid', 'caken', 'wife', 'parent', 'kidz', 'friend', 'n', 'colleague', 'screaming', 'surprise', 'waiting', 'sofa', 'naked']",sad story man last week bday wife didnt wish parent forgot n kid went work even colleague wish entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went said u mind go bedroom minute ok sed sexy mood came minuts latr wid caken wife parent kidz friend n colleague screaming surprise waiting sofa naked
1,you are guaranteed the latest nokia phone a gb ipod mp player or a £ prize txt word collect to no ibhltd ldnwh pmtmsgrcvd,"['guaranteed', 'latest', 'nokia', 'phone', 'gb', 'ipod', 'mp', 'player', '£', 'prize', 'txt', 'word', 'collect', 'ibhltd', 'ldnwh', 'pmtmsgrcvd']",guaranteed latest nokia phone gb ipod mp player £ prize txt word collect ibhltd ldnwh pmtmsgrcvd
0,will you be here for food,['food'],food
0,hi its kate it was lovely to see you tonight and ill phone you tomorrow i got to sing and a guy gave me his card xxx,"['hi', 'kate', 'lovely', 'see', 'tonight', 'ill', 'phone', 'tomorrow', 'got', 'sing', 'guy', 'gave', 'card', 'xxx']",hi kate lovely see tonight ill phone tomorrow got sing guy gave card xxx
0,where are you what do you do how can you stand to be away from me doesnt your heart ache without me dont you wonder of me dont you crave me,"['stand', 'away', 'doesnt', 'heart', 'ache', 'without', 'dont', 'wonder', 'dont', 'crave']",stand away doesnt heart ache without dont wonder dont crave
0,wat u doing there,"['wat', 'u']",wat u
0,whenre you guys getting back g said you were thinking about not staying for mcr,"['whenre', 'guy', 'getting', 'back', 'g', 'said', 'thinking', 'staying', 'mcr']",whenre guy getting back g said thinking staying mcr
0,hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl,"['hurt', 'tease', 'make', 'cry', 'end', 'life', 'die', 'plz', 'keep', 'one', 'rose', 'grave', 'say', 'stupid', 'miss', 'u', 'nice', 'day', 'bslvyl']",hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl
0,k text me when youre on the way,"['k', 'text', 'youre', 'way']",k text youre way
0,ok i will tell her to stay out yeah its been tough but we are optimistic things will improve this month,"['ok', 'tell', 'stay', 'yeah', 'tough', 'optimistic', 'thing', 'improve', 'month']",ok tell stay yeah tough optimistic thing improve month
0,i thought we were doing a king of the hill thing there,"['thought', 'king', 'hill', 'thing']",thought king hill thing
0,k if u bored up just come to my home,"['k', 'u', 'bored', 'come', 'home']",k u bored come home
1,you wont believe it but its true its incredible txts reply g now to learn truly amazing things that will blow your mind from ofwd only ptxt,"['wont', 'believe', 'true', 'incredible', 'txts', 'reply', 'g', 'learn', 'truly', 'amazing', 'thing', 'blow', 'mind', 'ofwd', 'ptxt']",wont believe true incredible txts reply g learn truly amazing thing blow mind ofwd ptxt
0,so i could kiss and feel you next to me,"['could', 'kiss', 'feel', 'next']",could kiss feel next
0,great i was getting worried about you just know that a wonderful and caring person like you will have only the best in life know that u r wonderful and gods love is yours,"['great', 'getting', 'worried', 'know', 'wonderful', 'caring', 'person', 'like', 'best', 'life', 'know', 'u', 'r', 'wonderful', 'god', 'love']",great getting worried know wonderful caring person like best life know u r wonderful god love
0,just sleepingand surfing,"['sleepingand', 'surfing']",sleepingand surfing
0,my new years eve was ok i went to a party with my boyfriend who is this si then hey,"['new', 'year', 'eve', 'ok', 'went', 'party', 'boyfriend', 'si', 'hey']",new year eve ok went party boyfriend si hey
0,kothi print out marandratha,"['kothi', 'print', 'marandratha']",kothi print marandratha
0,just havent decided where yet eh,"['havent', 'decided', 'yet', 'eh']",havent decided yet eh
0,okok okthenwhats ur todays plan,"['okok', 'okthenwhats', 'ur', 'today', 'plan']",okok okthenwhats ur today plan
1,hmv bonus special pounds of genuine hmv vouchers to be won just answer easy questions play now send hmv to more infowwwpercentrealcom,"['hmv', 'bonus', 'special', 'pound', 'genuine', 'hmv', 'voucher', 'answer', 'easy', 'question', 'play', 'send', 'hmv', 'infowwwpercentrealcom']",hmv bonus special pound genuine hmv voucher answer easy question play send hmv infowwwpercentrealcom
0,never y lei i v lazy got wat dat day ü send me da url cant work one,"['never', 'lei', 'v', 'lazy', 'got', 'wat', 'dat', 'day', 'ü', 'send', 'da', 'url', 'cant', 'work', 'one']",never lei v lazy got wat dat day ü send da url cant work one
0,alright ill head out in a few minutes text me where to meet you,"['alright', 'ill', 'head', 'minute', 'text', 'meet']",alright ill head minute text meet
0,sorry ill call later,"['sorry', 'ill', 'call', 'later']",sorry ill call later
0,good afternoon my love how goes your day how did you sleep i hope your well my boytoy i think of you,"['good', 'afternoon', 'love', 'go', 'day', 'sleep', 'hope', 'well', 'boytoy', 'think']",good afternoon love go day sleep hope well boytoy think
0,u should make a fb list,"['u', 'make', 'fb', 'list']",u make fb list
0,haha they cant what at the most tmr forfeit haha so how,"['haha', 'cant', 'tmr', 'forfeit', 'haha']",haha cant tmr forfeit haha
0,usually the body takes care of it buy making sure it doesnt progress can we pls continue this talk on saturday,"['usually', 'body', 'take', 'care', 'buy', 'making', 'sure', 'doesnt', 'progress', 'pls', 'continue', 'talk', 'saturday']",usually body take care buy making sure doesnt progress pls continue talk saturday
0,im very happy for you babe woo hoo party on dude,"['im', 'happy', 'babe', 'woo', 'hoo', 'party', 'dude']",im happy babe woo hoo party dude
1,urgent please call from landline £ cash or a luxury canary islands holiday await collection tcs sae award maq ppm “,"['urgent', 'please', 'call', 'landline', '£', 'cash', 'luxury', 'canary', 'island', 'holiday', 'await', 'collection', 'tc', 'sae', 'award', 'maq', 'ppm', '“']",urgent please call landline £ cash luxury canary island holiday await collection tc sae award maq ppm “
0,oh wow thats gay will firmware update help,"['oh', 'wow', 'thats', 'gay', 'firmware', 'update', 'help']",oh wow thats gay firmware update help
0,i dunno they close oredi not ü v ma fan,"['dunno', 'close', 'oredi', 'ü', 'v', 'fan']",dunno close oredi ü v fan
0,dont know you bring some food,"['dont', 'know', 'bring', 'food']",dont know bring food
0,dai ltgt naal eruku,"['dai', 'ltgt', 'naal', 'eruku']",dai ltgt naal eruku
0,well i know z will take care of me so no worries,"['well', 'know', 'z', 'take', 'care', 'worry']",well know z take care worry
0,super msg danalla timing,"['super', 'msg', 'danalla', 'timing']",super msg danalla timing
0,if u sending her home first its ok lor im not ready yet,"['u', 'sending', 'home', 'first', 'ok', 'lor', 'im', 'ready', 'yet']",u sending home first ok lor im ready yet
0,yes my reg is ciao,"['yes', 'reg', 'ciao']",yes reg ciao
1,as a registered subscriber yr draw a £ gift voucher will b entered on receipt of a correct ans when are the next olympics txt ans to,"['registered', 'subscriber', 'yr', 'draw', '£', 'gift', 'voucher', 'b', 'entered', 'receipt', 'correct', 'an', 'next', 'olympics', 'txt', 'an']",registered subscriber yr draw £ gift voucher b entered receipt correct an next olympics txt an
1,u have a secret admirer who is looking make contact with ufind out who they rreveal who thinks ur so specialcall on,"['u', 'secret', 'admirer', 'looking', 'make', 'contact', 'ufind', 'rreveal', 'think', 'ur', 'specialcall']",u secret admirer looking make contact ufind rreveal think ur specialcall
1,dear dave this is your final notice to collect your tenerife holiday or cash award call from landline tcs sae box cwwx ppm,"['dear', 'dave', 'final', 'notice', 'collect', 'tenerife', 'holiday', 'cash', 'award', 'call', 'landline', 'tc', 'sae', 'box', 'cwwx', 'ppm']",dear dave final notice collect tenerife holiday cash award call landline tc sae box cwwx ppm
0,i went to project centre,"['went', 'project', 'centre']",went project centre
0,gran onlyfound out afew days agocusoon honi,"['gran', 'onlyfound', 'afew', 'day', 'agocusoon', 'honi']",gran onlyfound afew day agocusoon honi
0,oops i thk i dun haf enuff i go check then tell ü,"['oops', 'thk', 'dun', 'haf', 'enuff', 'go', 'check', 'tell', 'ü']",oops thk dun haf enuff go check tell ü
0,yar lor he wan go c horse racing today mah so eat earlier lor i ate chicken rice u,"['yar', 'lor', 'wan', 'go', 'c', 'horse', 'racing', 'today', 'mah', 'eat', 'earlier', 'lor', 'ate', 'chicken', 'rice', 'u']",yar lor wan go c horse racing today mah eat earlier lor ate chicken rice u
0,noooooooo please last thing i need is stress for once in your life be fair,"['noooooooo', 'please', 'last', 'thing', 'need', 'stress', 'life', 'fair']",noooooooo please last thing need stress life fair
0,kate jackson rec center before ish right,"['kate', 'jackson', 'rec', 'center', 'ish', 'right']",kate jackson rec center ish right
0,one of best dialogue in cute reltnship wen i die dont come near my body bcoz my hands may not come wipe ur tears off that timegud ni,"['one', 'best', 'dialogue', 'cute', 'reltnship', 'wen', 'die', 'dont', 'come', 'near', 'body', 'bcoz', 'hand', 'may', 'come', 'wipe', 'ur', 'tear', 'timegud', 'ni']",one best dialogue cute reltnship wen die dont come near body bcoz hand may come wipe ur tear timegud ni
1,call from tells u call to claim £ prize u have enter all ur mobile personal details the prompts careful,"['call', 'tell', 'u', 'call', 'claim', '£', 'prize', 'u', 'enter', 'ur', 'mobile', 'personal', 'detail', 'prompt', 'careful']",call tell u call claim £ prize u enter ur mobile personal detail prompt careful
1,do you ever notice that when youre driving anyone going slower than you is an idiot and everyone driving faster than you is a maniac,"['ever', 'notice', 'youre', 'driving', 'anyone', 'going', 'slower', 'idiot', 'everyone', 'driving', 'faster', 'maniac']",ever notice youre driving anyone going slower idiot everyone driving faster maniac
0,but i juz remembered i gotta bathe my dog today,"['juz', 'remembered', 'got', 'ta', 'bathe', 'dog', 'today']",juz remembered got ta bathe dog today
0,honey sweetheart darling sexy buns sugar plum loverboy i miss you boytoy smacks your ass did you go to the gym too,"['honey', 'sweetheart', 'darling', 'sexy', 'bun', 'sugar', 'plum', 'loverboy', 'miss', 'boytoy', 'smack', 'as', 'go', 'gym']",honey sweetheart darling sexy bun sugar plum loverboy miss boytoy smack as go gym
0,no my mum went dentist,"['mum', 'went', 'dentist']",mum went dentist
0,oh then your phone phoned me but it disconnected,"['oh', 'phone', 'phoned', 'disconnected']",oh phone phoned disconnected
0,sorry about that this is my mates phone and i didnt write it love kate,"['sorry', 'mate', 'phone', 'didnt', 'write', 'love', 'kate']",sorry mate phone didnt write love kate
0,would me smoking you out help us work through this difficult time,"['would', 'smoking', 'help', 'u', 'work', 'difficult', 'time']",would smoking help u work difficult time
1,u can win £ of music gift vouchers every week starting now txt the word draw to tscs wwwldewcom skillgamewinaweek ageppermesssubscription,"['u', 'win', '£', 'music', 'gift', 'voucher', 'every', 'week', 'starting', 'txt', 'word', 'draw', 'tscs', 'wwwldewcom', 'skillgamewinaweek', 'ageppermesssubscription']",u win £ music gift voucher every week starting txt word draw tscs wwwldewcom skillgamewinaweek ageppermesssubscription
1,do you want a new video phone anytime any network mins text for only five pounds per week call now or reply for delivery tomorrow,"['want', 'new', 'video', 'phone', 'anytime', 'network', 'min', 'text', 'five', 'pound', 'per', 'week', 'call', 'reply', 'delivery', 'tomorrow']",want new video phone anytime network min text five pound per week call reply delivery tomorrow
0,in life when you face choices just toss a coin not becoz its settle the question but while the coin in the air u will know what your heart is hoping for gudni,"['life', 'face', 'choice', 'toss', 'coin', 'becoz', 'settle', 'question', 'coin', 'air', 'u', 'know', 'heart', 'hoping', 'gudni']",life face choice toss coin becoz settle question coin air u know heart hoping gudni
0,the lay man just to let you know you are missed and thought off do have a great day and if you can send me bimbo and ugos numbers ill appreciate safe,"['lay', 'man', 'let', 'know', 'missed', 'thought', 'great', 'day', 'send', 'bimbo', 'ugos', 'number', 'ill', 'appreciate', 'safe']",lay man let know missed thought great day send bimbo ugos number ill appreciate safe
0,its a part of checking iq,"['part', 'checking', 'iq']",part checking iq
